segment_title,step_title,actions,Herramientas,Links,Recursos,Detalle
Recursos,"Paso 1
: De naciente a en desarrollo","Desarrolle el caso del marketing entendiendo las tendencias de gasto, creando objetivos de marketing claros y aclarando las necesidades de habilidades y tecnología. Ate los resultados a los objetivos comerciales, como el conocimiento de la marca y la participación del cliente, para mostrar el impacto y justificar el presupuesto. Contratar a un líder de marketing con experiencia digital para desarrollar e implementar la estrategia y adquirir las habilidades adecuadas.",Google Analytics,https://analytics.google.com/analytics/web,1,Dedicación puntual (actual)
Recursos,"Paso 2
: Desarrollando a intermedio","Ejerza influencia en el presupuesto mostrando resultados basados en métricas que se conectan con los objetivos comerciales. Realice un seguimiento, monitoree y comparta resultados entre los equipos de marketing para encontrar formas de optimizar. Cree programas de capacitación que amplíen las habilidades del personal actual y definan los requisitos futuros.",Hootsuite,https://hootsuite.com/es/,2,Dedicación parcial (actual)
Recursos,"Paso 3
: Intermedio a avanzado","Optimice sus inversiones en marketing en torno a las iniciativas más exitosas que generen conciencia, participación del cliente y conversión. Concéntrese en diseñar una organización basada en la agilidad e implemente un enfoque basado en proyectos para los programas e iniciativas de marketing. Evalúe la viabilidad de los servicios internos, como una agencia interna versus socios de agencias digitales externas.",HubSpot,https://www.hubspot.es,3,Dedicación completa (personal actual)
Recursos,"Paso 4
: Avanzado a Maestro",Realice un seguimiento de las actividades y programas con un panel en tiempo real y optimice el rendimiento y el retorno de la inversión. Utilice la presupuestación basada en actividades para vincular programas e iniciativas con la financiación e impulse la rendición de cuentas para la inversión continua. Optimice el uso de agencias asociadas internas y externas para cubrir brechas de habilidades clave y descargar proyectos a socios.,Power BI,https://powerbi.microsoft.com/es-es/,4,Dedicación completa (nuevo personal)
Experiencia del cliente,"Paso 1
: De naciente a en desarrollo","Eduque a sus colegas y líderes sobre la necesidad empresarial de mejorar la experiencia del cliente.Realice un inventario de herramientas, tecnología y procesos para establecer las capacidades redundantes o faltantes en torno a personas, mapas de viaje, procesos de VoC, investigación y tecnología.Identifique a los líderes de CX del departamento y defienda para un mayor intercambio de información, conocimientos y estado del proyecto en un esfuerzo por mejorar la coordinación.",-,-,1,Dedicación puntual (actual)
Experiencia del cliente,"Paso 2
: Desarrollando a intermedio","Vincule los resultados y las métricas de CX con los objetivos comerciales ejecutivos para asegurarse de que se considere un objetivo estratégico y medible.Localice las iniciativas comerciales específicas que necesitan un componente de CX para tener éxito y defina el caso comercial para resolver ese desafío mediante el uso de Herramientas, empleados y procesos de CX. Organice sesiones de aprendizaje entre pares y talleres de CX para compartir el conocimiento del cliente. Enfoque esto inicialmente en ventas y marketing, y luego expanda a otras funciones como TI y cadena de suministro. Trabaje con el liderazgo para ayudarlos a comprender su papel en el modelado y el establecimiento de expectativas de los empleados para comportamientos centrados en el cliente.",Zoho,https://www.zoho.com/es-xl/crm/,2,Dedicación parcial (actual)
Experiencia del cliente,"Paso 3
: Intermedio a avanzado","Promover la relación entre las medidas de percepción y satisfacción del cliente y los KPI financieros o comerciales que preocupan a los líderes Aprovechar los patrocinadores ejecutivos para fomentar una mayor colaboración y participación de aquellos sectores de la organización que aún no están completamente comprometidos con los esfuerzos de CX. líderes y líderes de recursos humanos para considerar las oportunidades de los empleados y los impedimentos para el éxito de CX. Considere cómo sus valores de CX pueden reflejarse en las descripciones de puestos, revisiones de desempeño y estructuras de recompensa para los empleados. Trabaje de manera cruzada para mejorar la calidad de mapas de viaje completos de afuera hacia adentro.",Zoho,https://www.zoho.com/es-xl/crm/,2,Dedicación parcial (actual)
Experiencia del cliente,"Paso 4
: Avanzado a Maestro","Apoyar a los líderes en la reconsideración del propósito y la misión de la organización, llevando el enfoque en el cliente y la CX a la visión central, las aspiraciones y los comportamientos diarios de toda la empresa. Busque oportunidades para celebrar el desempeño individual ejemplar que mejor refleje los valores de CX de su organización.",Zoho,https://www.zoho.com/es-xl/crm/,3,Dedicación completa (personal actual)
Marketing multicanal,"Paso 1
: De naciente a en desarrollo","Desarrolle personajes detallados. Vaya más allá de los datos demográficos estándar para determinar qué impulsa a cada persona a comprar. Considere los proveedores de datos de marketing que enriquecen los perfiles de la audiencia, incluidos los segmentos similares, basados en datos de clientes de primera parte. Comience a identificar y priorizar los eventos de marketing importantes para el cliente y la empresa para comprender las interacciones en tiempo real y en el momento adecuado. estrategia de marketing con objetivos y plazos específicos, y mediante la definición de métricas de éxito del contenido. Audite las capacidades actuales internamente y con las agencias, y comience a llenar los vacíos de habilidades. Seleccione nuevas conexiones de canal según el proceso de compra del cliente. Empiece a demostrar la eficacia de cada canal mediante técnicas de atribución de canales.",Facebook Audience Insights,https://es-la.facebook.com/business/insights/tools/audience-insights,2,Dedicación parcial (actual)
Marketing multicanal,"Paso 2
: Desarrollando a intermedio","Configure reglas de detección en cada canal para responder a eventos importantes. En primer lugar, concéntrese en los eventos fijos y predecibles para saber si debe reaccionar ante ellos y cómo hacerlo. Luego, pase a eventos de tipo variable más complejos.Desarrolle procesos de ejecución de campañas en canales como los medios móviles y sociales que tengan los medios para intercambiar datos e interacciones en tiempo real a través del viaje de compra del cliente.Definir capacidades críticas para un centro de marketing multicanal para alinear y orquestar datos de clientes, programas, contenido, canales, eventos y resultados comerciales. Colabore con el equipo de marketing más amplio, las ventas y los expertos en la materia interna para acceder o construir conjuntamente personas detalladas y mapas de viaje. Identifique los puntos de fricción del cliente que se pueden resolver con el contenido adecuado.Construya un equipo de contenido pequeño y enfocado que trabaje en la producción de contenido para múltiples canales.",Mautic,https://www.mautic.org,2,Dedicación parcial (actual)
Marketing multicanal,"Paso 3
: Intermedio a avanzado","Cree procesos de marketing automatizados y activados por eventos en torno a segmentos y personas. Comience a escalar múltiples factores desencadenantes de eventos importantes a lo largo del proceso de compra del cliente para acelerar las técnicas de personalización específicas en tiempo real Utilice el marketing móvil para combinar el contexto de ubicación en tiempo real con un enlace bidireccional directo con los clientes en la fase de consideración, lo que permite una gran cantidad de información , ofertas basadas en permisos.Combine el enfoque en el marketing móvil con inversiones en redes sociales (ganadas y pagadas) para influir en los clientes desde la adquisición hasta las fases de conversión del recorrido del cliente y para consolidar la lealtad posterior a la compra.Invertir en un equipo de marketing de contenido y herramientas para crear un programa coherente que cubra el recorrido del cliente para las personas. Publique contenido y pruebe varios formatos, con las primeras pruebas de promoción pagada. Amplíe la medición más allá del compromiso para incluir la conversión básica. Siempre que sea posible, vincule los esfuerzos de marketing de contenido directamente con los ingresos. Designe a un líder de marketing multicanal que aportará habilidades estratégicas, tácticas y de creación de relaciones al equipo de marketing y a toda la organización. Dicho líder debe ser un influencer multidimensional con un conocimiento profundo de cada canal único y su papel en una conversación conectada y orquestada.",HubSpot,https://www.hubspot.es,3,Dedicación completa (personal actual)
Marketing multicanal,"Paso 4
: Avanzado a Maestro","Desarrolle métodos de segmentación multidimensional, como la agrupación en clústeres y la segmentación basada en necesidades / valores, para encontrar continuamente grupos de personas que son importantes para el negocio, comparten atributos similares y son distintos de los demás. Utilice los datos para dar forma a tratamientos personalizados y dirigidos. Optimice los desencadenantes de eventos de marketing identificando la mejor interacción de marketing basada en muchos eventos, interacciones y tipos de ofertas. El presupuesto, el análisis de rentabilidad de los segmentos, la disponibilidad de canal, los recursos, las reglas de limitación de contactos y la propensión a la deserción son solo algunas de las variables que se consideran para la optimización. fue un momento en una conversación continua, anticipándose a las necesidades futuras de los clientes. Desarrollar procesos de producción de contenido que respalden la marca, la generación de ingresos y la retención de clientes. Apunte a contenido multiformato que satisfaga las necesidades del cliente de una manera útil y conversacional en el momento de necesidad. Extienda el suministro de contenido a proveedores con redes de talentos y clientes que puedan compartir grandes historias con el objetivo de aumentar el volumen de publicaciones de alta calidad y aumentar la autenticidad a través de la co-creación.",Pleasepoint,https://pleasepoint.com,4,Dedicación completa (nuevo personal)
Social,"Paso 1
: De naciente a en desarrollo","Desarrolle una estrategia de marketing social que defina indicadores clave de rendimiento centrados en unos pocos resultados, como aumentar el alcance o el compromiso. Alinee los objetivos con la estrategia comercial o de marketing digital más grande tanto como sea posible, o su proyecto social no será una prioridad.",-,-,2,Dedicación parcial (actual)
Social,"Paso 2
: Desarrollando a intermedio","Alinee su estrategia social con la estrategia de marketing multicanal de su organización. Los objetivos y métricas de marketing social deben acumularse o contribuir a los objetivos y métricas multicanal generales. Trace los viajes de compra para su audiencia por segmento o persona. Determine qué medios sociales y tácticas funcionan mejor para cada etapa de estos viajes de compra Implemente una plataforma de gestión de marketing social. Esto permitirá que su equipo amplíe las operaciones y garantice un compromiso efectivo con su audiencia a través de las redes sociales.Desarrolle flujos de trabajo de enrutamiento y escalamiento de mensajes para que las personas adecuadas en ventas, servicio y otras partes de la organización se relacionen con los clientes.",Google Analytics,https://analytics.google.com/analytics/web,2,Dedicación parcial (actual)
Social,"Paso 3
: Intermedio a avanzado","Amplíe la operación de marketing social con un enfoque en el contenido. Desarrollar políticas y procesos para crear, publicar, rastrear y promover el contenido adecuado en más lugares Desarrollar los recursos necesarios para producir este contenido a escala. Hágalo recurriendo al equipo de marketing social, otros talentos internos, herramientas de curación, agencias, autónomos y clientes.Integre las fuentes de datos que ingresan o salen del programa de marketing social.Trabaje para brindar al personal de primera línea una imagen completa de miembros de la comunidad social. Trabaje con sus pares en el marketing multicanal para incorporar información sobre el cliente, el contenido o la participación en los sistemas y programas.",Hootsuite,https://hootsuite.com/es/,3,Dedicación completa (personal actual)
Social,"Paso 4
: Avanzado a Maestro","Promover la efectividad del marketing social en toda la organización. Muestre a la gerencia datos duros sobre cómo su programa mejora los resultados para los esfuerzos de marketing multicanal y el negocio. Utilice estos resultados para asegurar el compromiso a largo plazo de los ejecutivos corporativos, incluida la inversión en personas y tecnología. Conecte su fábrica de innovación a su programa de marketing social. Encargue al equipo de buscar continuamente nuevas tecnologías y tácticas que puedan dar a la organización una ventaja competitiva. Pon a alguien a cargo del esfuerzo y mide el progreso. Fortalece las conexiones de tu equipo más allá del marketing para el desarrollo de productos, el servicio al cliente y los socios. Comparta datos que puedan ayudar a todas las partes. Coordina mensajes y comunicaciones para que, por ejemplo, lo que le digas a los clientes antes de la venta coincida con lo que diga el servicio al cliente después de la venta.",Power BI,https://powerbi.microsoft.com/es-es/,4,Dedicación completa (nuevo personal)
Móvil,"Paso 1
: De naciente a en desarrollo","Identifique su tipo de marketing móvil analizando las interacciones de sus clientes existentes por canal. Evalúe si su negocio se alinea mejor con un enfoque centrado en dispositivos móviles o extensor móvil, y desarrolle su estrategia de marketing móvil en consecuencia. Aumente sus capacidades de análisis de marketing móvil. Aproveche las ofertas gratuitas de Google o Adobe, entre otros.",Facebook Audience Insights,https://es-la.facebook.com/business/insights/tools/audience-insights,1,Dedicación puntual (actual)
Móvil,"Paso 2
: Desarrollando a intermedio","Exponga a los líderes senior de marketing y C-suite que el marketing debe liderar los esfuerzos de marketing móvil de su empresa. Colabore con otras unidades comerciales para garantizar la privacidad de los datos de los clientes, la gobernanza del contenido y otros requisitos. Construya las bases de una estrategia de marketing móvil conectado. Empiece por crear un caso de negocio para un sitio web receptivo o un sitio adaptado para dispositivos móviles.",-,-,2,Dedicación parcial (actual)
Móvil,"Paso 3
: Intermedio a avanzado","Utilice la analítica para profundizar en el comportamiento de su audiencia. Por ejemplo, analice las descargas de aplicaciones para distinguir y apuntar a los clientes comprometidos de aquellos que son temporalmente fuertes pero fugaces. Refine las tácticas móviles para que sean predecibles y repetibles. Aplique esos refinamientos hacia oportunidades de uso de tecnologías avanzadas para mejorar la experiencia comercial. Designe un 'campeón móvil' que pueda defender el impacto de los dispositivos móviles ante los líderes empresariales de alto nivel. Asigne a esa persona el establecimiento de una comunidad de conocimientos multidisciplinaria, asegurando que TI, ventas, servicio al cliente y otros puedan contribuir regularmente a las mejoras móviles continuas.",Facebook Audience Insights,https://es-la.facebook.com/business/insights/tools/audience-insights,2,Dedicación parcial (actual)
Móvil,"Paso 4
: Avanzado a Maestro","Alinee sus métricas móviles para medir el éxito de las campañas de marketing con los indicadores clave de rendimiento (KPI) de la empresa. Desarrolle una cultura en la que los datos y el análisis formen la base de todas las decisiones sobre campañas y técnicas, asegurando que los KPI de marketing móvil estén estrechamente vinculados a los KPI del negocio en general. Utilice los KPI y análisis de marketing móvil para mostrar la contribución de los dispositivos móviles al negocio. Implemente análisis predictivos para comenzar a anticipar los cambios en las necesidades de los clientes y pruebe diferentes escenarios para abordarlos. Haga de la base del análisis de marketing móvil un requisito previo para todas las contrataciones.",Power BI,https://powerbi.microsoft.com/es-es/,4,Dedicación completa (nuevo personal)
Comercio digital,"Paso 1
: De naciente a en desarrollo","Invierta en conocimiento del mercado, el consumidor o el cliente para comprender las necesidades de los compradores y desarrollar o perfeccionar su estrategia de comercio digital.Construir un grupo de trabajo multifuncional, utilizando recursos parciales cuando sea necesario, para obtener experiencia y ejecución en áreas funcionales clave.Asignar una parte de su Presupuesto de marketing y medios para generar conciencia sobre el comercio digital e impulsar el tráfico y la conversión. Utilizar análisis web y ventas en línea para realizar un seguimiento del comportamiento del comprador y medir el impacto de la campaña en el tráfico y la conversión del sitio. Ampliar el contenido del producto (por ejemplo, calificaciones, reseñas). Garantice la coherencia y la visibilidad en todos los canales para mejorar la clasificación de búsqueda.",Google Trends,https://trends.google.es/trends,2,Dedicación parcial (actual)
Comercio digital,"Paso 2
: Desarrollando a intermedio","Definir KPI relevantes para rastrear el desempeño táctico y operativo para obtener información y mejorar, y medir el impacto en los objetivos estratégicos y comerciales.Unir recursos multifuncionales en un equipo de comercio digital con objetivos comunes vinculados a la ejecución estratégica y el crecimiento del comercio digital.Desarrollar una visión futura para comercio digital y una hoja de ruta tecnológica para ofrecer iniciativas estratégicas, respaldar la ejecución y optimizar el rendimiento Utilice pruebas para optimizar la estructura y el contenido del sitio, como agilizar el pago o agregar contenido enriquecido, mientras se mantiene la velocidad y el rendimiento del sitio Alinear la estrategia y la ejecución de marketing con el comercio digital, no solo el conocimiento de la marca o el producto, sino también los canales y tácticas de marketing de rendimiento.",SEMrush,https://es.semrush.com,3,Dedicación completa (personal actual)
Comercio digital,"Paso 3
: Intermedio a avanzado","Utilice segmentos de clientes, personas y mapas de recorrido para alinear la experiencia del comercio digital con el recorrido del cliente de un extremo a otro. Trabaje con finanzas y TI para unificar las ventas en línea y fuera de línea, a nivel de cliente, y realice un seguimiento de la contribución y el LTV de los compradores individuales frente a los omnicanal. .Utilice el comercio digital para conducir a la tienda ofreciendo incentivos para comprar en la tienda, opciones de cumplimiento e información de la tienda local (por ejemplo, imágenes de la tienda, servicios) .Construya una hipótesis sobre cómo la personalización puede mejorar el comercio digital, como recomendaciones personalizadas, búsqueda de sitios y navegación. Invierta en los anuncios de Amazon adecuados para sus objetivos, como anuncios gráficos genéricos para aumentar el conocimiento de la marca o productos patrocinados para aumentar la visibilidad en la búsqueda.",Pleasepoint,https://pleasepoint.com,3,Dedicación completa (personal actual)
Comercio digital,"Paso 4
: Avanzado a Maestro","Trabaje con líderes multifuncionales para establecer y alinear objetivos omnicanal con métricas e incentivos de desempeño. Planifique mejoras operativas que respalden una experiencia omnicanal fluida (por ejemplo, inventario integrado, recogida / devolución en la tienda). Asóciese con TI para elegir la tecnología de comercio digital y adapte su pila de tecnología de marketing para respaldar su estrategia de comercio digital, permitir la participación del cliente y satisfacer las necesidades de los usuarios, incluida la racionalización y consolidación de herramientas Definir una estrategia de personalización vinculada a los objetivos del comercio digital (por ejemplo, lealtad), el comportamiento del comprador (por ejemplo, frecuencia) y una hipótesis de cómo influir en ese comportamiento, como contenido personalizado y herramientas para ayudar al descubrimiento y selección de productos. Diseñar y ejecutar una prueba de esta hipótesis, utilizando herramientas, contenido y datos existentes, si es posible. Utilice los resultados para medir el impacto potencial de la personalización y justificar un programa piloto y la inversión en recursos adicionales, si es necesario.Socio con Amazon, así como con proveedores y distribuidores, para combatir los listados de productos no autorizados mediante el monitoreo de listados, asegurando que los socios comerciales solo se relacionen con los los vendedores y los listados de terceros se adhieren al MSRP y otras políticas.",-,-,3,Dedicación completa (personal actual)
Conducida por datos,"Paso 1
: De naciente a en desarrollo","Mejore su visión analítica hablando con expertos, leyendo estudios de casos y desarrollando el conocimiento de los principales resultados de análisis de marketing, junto con los datos, las habilidades y las tecnologías necesarias para producirlos. Luego, priorice las que se puedan lograr en los próximos 12 a 18 meses. Cree un caso de negocios para un equipo de análisis de marketing dedicado. Colabore con los especialistas en marketing de primera línea para discernir qué información necesitan, cuándo la necesitan y en qué formato. Emplee plantillas de informes estandarizadas para obtener coherencia y visualizaciones de datos que mejoren la usabilidad. Realice una auditoría de datos básica que revele una vista precisa y realista de sus datos de marketing, incluida la integridad y actualidad. A continuación, realice un análisis de brechas en relación con los objetivos comerciales, identifique a los especialistas en marketing con conocimientos de datos e infunda datos en la planificación y la toma de decisiones para crear un hábito de confianza en los datos. Desarrolle un plan para mejorar las habilidades de su equipo.",-,-,2,Dedicación parcial (actual)
Conducida por datos,"Paso 2
: Desarrollando a intermedio","Utilice un panel de marketing para representar visualmente su rendimiento de marketing y respaldar el análisis de autoservicio. Aproveche las funciones de automatización de informes y preparación de datos de la herramienta para lograr precisión y puntualidad en los informes. Eleve el papel de la analítica de marketing en la organización. Asegúrese de que el equipo tenga un líder capaz que establezca la visión, identifique tecnologías y lleve al equipo al siguiente nivel. Haga un inventario de las herramientas de análisis y los informes en uso en toda la organización. Compare los resultados de la auditoría con los objetivos de análisis para construir una estrategia de tecnología de análisis a largo plazo.Integre los sistemas de datos críticos, como el análisis web y la gestión de campañas, a través de API para habilitar campañas impulsadas por eventos, como la reorientación del navegador o las campañas posteriores a la conversión. estrategia de datos. Asóciese con las partes interesadas para mapear el recorrido del cliente e identificar datos que respalden experiencias mejoradas.",HubSpot,https://www.hubspot.es,2,Dedicación parcial (actual)
Conducida por datos,"Paso 3
: Intermedio a avanzado","Mejore sus capacidades de modelado contratando analistas con experiencia en estadística o ciencia de datos, o mejore las habilidades de su equipo existente a través de programas de capacitación en análisis avanzados. Sus objetivos a largo plazo requerirán perspicacia estadística. Asegúrese de tener un conjunto unificado y consistente de políticas de gobierno de datos que cubran todos los datos de marketing y de clientes. Cree un comité de calidad de datos multifuncional que audite y mejore los datos de su organización y supervise su uso. Utilice el equipo para evaluar nuevas fuentes de datos, como asociaciones de datos de terceros. Consolide datos dispares seleccionando las soluciones adecuadas para sus necesidades. Priorice las funciones de aprendizaje automático en su selección de martech para una mayor sofisticación de marketing (por ejemplo, motores de personalización, puntuación predictiva de clientes potenciales ). Ejecute pruebas de concepto para asegurarse de que brinden resultados. Amplíe las pruebas y la optimización para convertirse en un proceso integrado en la planificación de campañas. No se detenga en las pruebas A / B, sino que explore metodologías avanzadas como algoritmos multivariados, bandit y evolutivos para lograr escala.",Python,https://www.python.org,4,Dedicación completa (nuevo personal)
Conducida por datos,"Paso 4
: Avanzado a Maestro","Colabore con otros equipos dentro y fuera del marketing para identificar sinergias, nuevos conjuntos de datos y oportunidades para innovar con datos y análisis avanzados. Por ejemplo, utilice la experiencia en análisis para facilitar iniciativas de contratación interna de publicidad programática Contratar ingenieros de datos y científicos de datos para aumentar la eficiencia de los datos (por ejemplo, integración y sindicación a través de API), crear modelos patentados y servicios internos proporcionados por agencias que podrían conducir a una ventaja competitiva .Crear programas educativos que combinen recursos internos y servicios contratados para respaldar el requisito de liderazgo de utilizar datos para cada decisión de marketing. Incrementar la sofisticación de la medición mediante la contratación de talento con experiencia en metodologías de medición avanzadas (MMM + MTA algorítmico) y KPI personalizados (característica Ingenieria). Repita los métodos existentes hasta que agreguen capacidades diferenciadoras a la organización.",Python,https://www.python.org,4,Dedicación completa (nuevo personal)
Operaciones,"Paso 1
: De naciente a en desarrollo","Traiga personal operativo de varios departamentos para planificar formas de mejorar los múltiples procesos de marketing que apoyan. Fomente los procesos generales por encima de las porciones individuales. Comenzar planes para un modelo más centralizado o cómo podría operar como un modelo de servicios compartidos Desarrollar descripciones de trabajo específicas para roles operativos comunes en toda la organización de marketing. Utilice estas descripciones en el establecimiento de la dirección y los criterios de contratación, tanto interna como externamente, identifique tecnologías superpuestas que puedan racionalizarse y contratos con proveedores de tecnología que puedan consolidarse.",-,-,3,Dedicación completa (personal actual)
Operaciones,"Paso 2
: Desarrollando a intermedio","Forme un departamento centralizado o, en el caso de una organización de marketing más distribuida, una organización de servicios compartidos Amplíe su alcance a múltiples áreas de marketing con un enfoque en la presupuestación, la planificación y, sobre todo, el rendimiento del marketing. Obtenga un estado de misión crítica vinculando los objetivos de marketing a los principales objetivos de la empresa. A medida que se desarrollan sus planes organizativos, haga un seguimiento de lo que es importante sobre su tecnología de marketing para cada grupo de usuarios mientras busca consolidar su cartera.",-,-,3,Dedicación completa (personal actual)
Operaciones,"Paso 3
: Intermedio a avanzado","Amplíe el alcance de la estructura de la organización con un enfoque en la elaboración de presupuestos, la planificación y el desempeño del marketing. Ate los objetivos de marketing con los objetivos más amplios de la empresa para respaldar el negocio en general. A medida que se desarrollan los planes organizacionales, haga un seguimiento de lo que es importante acerca de sus aplicaciones de marketing para cada grupo de usuarios a medida que finalmente consolida su cartera de aplicaciones. Desarrolle un modelo de niveles de ritmo de marketing para diferenciar la inversión en tres horizontes de tiempo. Proporcionar una estructura organizativa clara, gobernanza y toma de decisiones para inversiones en tecnología a corto y largo plazo.",-,-,4,Dedicación completa (nuevo personal)
Operaciones,"Paso 4
: Avanzado a Maestro","Desarrollar continuamente planes a largo plazo para operaciones basados en los objetivos comerciales de la organización y la dirección en la que se desarrolla la tecnología. Revise al menos una vez al año para que siga siendo relevante para lo que está haciendo la organización de marketing. Convoque a representantes de los canales de marketing, gerentes de datos y tecnología de marketing, la oficina del CMO, el establecimiento de políticas y otros equipos interorganizacionales para iterar la organización, el proceso y políticas, habilidades, sistemas y datos. Comparta con sus principales proveedores de tecnología para que le ayuden a lograr su plan con la menor interrupción posible.",-,-,4,Dedicación completa (nuevo personal)
Innovación,"Paso 1
: De naciente a en desarrollo","Busque activamente oportunidades de innovación mediante el seguimiento de las tendencias actuales y futuras, y alinee las iniciativas de innovación más estrechamente con la estrategia comercial general.Cree oportunidades para generar y evaluar ideas a través de plataformas de crowdsourcing internas o hackatones, en lugar de reaccionar a un proyecto favorito ad hoc. 'Crear una visión para la innovación y socializar con la organización para lograr una mayor alineación con las partes interesadas y los empleados clave Identificar líderes clave y empleados de alto potencial con buenas habilidades de gestión y entusiasmo por la innovación para desarrollar procesos y prácticas compartidas.",Google Trends,https://trends.google.es/trends,2,Dedicación parcial (actual)
Innovación,"Paso 2
: Desarrollando a intermedio","Socialice su visión de la innovación dentro de la organización en general reclutando al patrocinador ejecutivo y otros líderes para defender y educar a sus equipos sobre la estrategia, la mentalidad, el vocabulario y los procesos que está estableciendo. Y lo más importante, comunique \""lo que hay para ellos\"". Formalice una colaboración más amplia entre empleados y socios mediante el intercambio de conocimientos y las pruebas.",-,-,3,Dedicación completa (personal actual)
Innovación,"Paso 3
: Intermedio a avanzado","Asegure la financiación a nivel empresarial, en lugar de depender de presupuestos de  equipo por equipo o financiación local. Desarrolle, presente y adquiera un presupuesto estándar anual para el financiamiento continuo de  recursos y programas. Sistematice la forma en que se relaciona con su agencia y otros socios externos en su proceso de innovación. Identifique oportunidades en hojas de ruta de socios en las que podría colaborar o ser socio de lanzamiento. Asegúrese de que las agencias brinden ideas basadas en sus metas y objetivos comerciales como parte de sus expectativas de relación y asociación. Busque nuevas empresas e incubadoras con las que asociarse para acelerar los proyectos piloto de innovación e identificar oportunidades emergentes o de primera en el mercado."" infraestructura",Global Market Finder,https://marketfinder.thinkwithgoogle.com/intl/es_es/,3,Dedicación completa (personal actual)
Innovación,"Paso 4
: Avanzado a Maestro","Gestione hábilmente el cambio cultural y de comportamiento y la integración y difusión de una mentalidad de innovación en toda la empresa. Pase de seguir las mejores prácticas a ser pioneros en las 'próximas prácticas'. Contratar a un líder senior (por ejemplo, vicepresidente de innovación o director de innovación) para supervisar los programas de innovación. Esto por sí solo no lo hará avanzar desde otros niveles de madurez. Debe tener la estrategia, el presupuesto y los recursos bien afinados y bien administrados para requerir este nivel de supervisión. Gestionar una cartera equilibrada de proyectos de innovación con una combinación de 'ganancias rápidas' y compromisos e inversiones a largo plazo para mantener el impulso en Orquestar proyectos utilizando un conjunto diverso de socios de innovación de universidades, incubadoras, startups, agencias y proveedores. Evalúe si la creación de un acelerador dentro de su propia organización le ayudará a alcanzar metas más altas y acelerar la comercialización.",Talkwalker,https://www.talkwalker.com,4,Dedicación completa (nuevo personal)
