"segment_title";"question_nmbr";"question_titl";"question_hint";"question_lvls";"question_lvds"
"Recursos";"Pregunta 1 de 3";"¿Qué tan bien trabaja la organización en conjunto en todas las disciplinas de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Contamos con un conjunto totalmente integrado de procesos de planificación, diseño y ejecución."
"Recursos";"Pregunta 1 de 3";"¿Qué tan bien trabaja la organización en conjunto en todas las disciplinas de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Contamos con una organización centralizada que nos permite ejecutar campañas multicanal coordinadas en tiempo real."
"Recursos";"Pregunta 1 de 3";"¿Qué tan bien trabaja la organización en conjunto en todas las disciplinas de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Tenemos revisiones operativas de marketing periódicas que nos mantienen coordinados."
"Recursos";"Pregunta 1 de 3";"¿Qué tan bien trabaja la organización en conjunto en todas las disciplinas de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Hacemos una planificación conjunta pero la ejecutamos por separado."
"Recursos";"Pregunta 1 de 3";"¿Qué tan bien trabaja la organización en conjunto en todas las disciplinas de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Operamos de forma independiente con un equipo haciendo redes sociales, otro responsable de campañas, móvil, etc."
"Recursos";"Pregunta 2 de 3";"¿Cómo se establece el presupuesto de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Hemos asegurado una inversión sostenida de varios años en marketing digital."
"Recursos";"Pregunta 2 de 3";"¿Cómo se establece el presupuesto de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Creamos un presupuesto de abajo hacia arriba para cumplir con los objetivos comerciales de la empresa."
"Recursos";"Pregunta 2 de 3";"¿Cómo se establece el presupuesto de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Negociamos nuestro plan presupuestario anual en función de los requisitos del programa."
"Recursos";"Pregunta 2 de 3";"¿Cómo se establece el presupuesto de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Basan nuestro presupuesto en nuestro gasto corriente del año pasado."
"Recursos";"Pregunta 2 de 3";"¿Cómo se establece el presupuesto de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Tenemos que justificar el costo de cada proyecto individual."
"Recursos";"Pregunta 3 de 3";"¿Cuán rico y diverso es el grupo de talentos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Podemos atraer y retener al mejor talento de marketing digital de nuestra industria."
"Recursos";"Pregunta 3 de 3";"¿Cuán rico y diverso es el grupo de talentos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Tenemos un complemento completo de conjuntos de habilidades líderes en la industria en todas las disciplinas."
"Recursos";"Pregunta 3 de 3";"¿Cuán rico y diverso es el grupo de talentos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Contamos en plantilla con expertos en las principales disciplinas del marketing digital abordadas en este modelo."
"Recursos";"Pregunta 3 de 3";"¿Cuán rico y diverso es el grupo de talentos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Hemos contratado algunas habilidades nuevas en analítica social y de marketing."
"Recursos";"Pregunta 3 de 3";"¿Cuán rico y diverso es el grupo de talentos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Realmente somos especialistas en marketing más tradicionales que recién comenzamos con técnicas digitales."
"Experiencia del cliente";"Pregunta 1 de 3";"¿Qué sabes de tus clientes?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Trabajamos en colaboración con nuestros clientes para dar forma a nuestra estrategia en torno a sus necesidades y objetivos."
"Experiencia del cliente";"Pregunta 1 de 3";"¿Qué sabes de tus clientes?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Lo que sabemos es relativamente completo y abarca tanto sus necesidades como las nuestras."
"Experiencia del cliente";"Pregunta 1 de 3";"¿Qué sabes de tus clientes?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Lo que sabemos incluye la comprensión de las motivaciones, necesidades y objetivos de los clientes."
"Experiencia del cliente";"Pregunta 1 de 3";"¿Qué sabes de tus clientes?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Sabemos mucho, pero está relacionado principalmente con la demografía, la propensión y la economía de los clientes."
"Experiencia del cliente";"Pregunta 1 de 3";"¿Qué sabes de tus clientes?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Lo que sabemos es estático, limitado y disperso por toda la organización."
"Experiencia del cliente";"Pregunta 2 de 3";"¿Cómo diseñas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Adoptamos los principios del pensamiento de diseño para crear experiencias integrales holísticas y de alto valor."
"Experiencia del cliente";"Pregunta 2 de 3";"¿Cómo diseñas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Utilizamos datos y disciplinas creativas para diseñar experiencias que en su mayoría tienen una orientación de afuera hacia adentro."
"Experiencia del cliente";"Pregunta 2 de 3";"¿Cómo diseñas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Dependemos en gran medida de los datos para diseñar experiencias entre silos, pero en su mayoría tienen una orientación de adentro hacia afuera."
"Experiencia del cliente";"Pregunta 2 de 3";"¿Cómo diseñas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Usamos anécdotas, intuición y datos de clientes, pero a menudo están aislados y orientados de adentro hacia afuera."
"Experiencia del cliente";"Pregunta 2 de 3";"¿Cómo diseñas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Principalmente basado en anécdotas e intuición y a menudo dentro de silos organizacionales o funcionales."
"Experiencia del cliente";"Pregunta 3 de 3";"¿Cómo entregas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Las experiencias se coordinan / integran y se adaptan a las necesidades cambiantes de los clientes."
"Experiencia del cliente";"Pregunta 3 de 3";"¿Cómo entregas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Las experiencias se coordinan / integran a través de canales y unidades de negocio."
"Experiencia del cliente";"Pregunta 3 de 3";"¿Cómo entregas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Las experiencias se coordinan / integran en todos los canales, pero no en las unidades de negocio."
"Experiencia del cliente";"Pregunta 3 de 3";"¿Cómo entregas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Las experiencias se coordinan / integran en todas las unidades de negocio, pero no en los canales."
"Experiencia del cliente";"Pregunta 3 de 3";"¿Cómo entregas experiencias?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Las experiencias son esfuerzos relativamente descoordinados / fragmentados en todos los canales y unidades de negocio."
"Marketing multicanal";"Pregunta 1 de 3";"¿Qué tan bien conoce a su comprador objetivo?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Hemos acelerado el camino hacia la compra mediante una segmentación y personalización más estrictas."
"Marketing multicanal";"Pregunta 1 de 3";"¿Qué tan bien conoce a su comprador objetivo?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Contamos con un proceso automatizado de segmentación contextual."
"Marketing multicanal";"Pregunta 1 de 3";"¿Qué tan bien conoce a su comprador objetivo?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Usamos perfiles psicográficos sofisticados para segmentar nuestra audiencia."
"Marketing multicanal";"Pregunta 1 de 3";"¿Qué tan bien conoce a su comprador objetivo?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Hemos desarrollado personas para comprender mejor los comportamientos de compra."
"Marketing multicanal";"Pregunta 1 de 3";"¿Qué tan bien conoce a su comprador objetivo?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Manejamos los datos transaccionales básicos y la demografía general."
"Marketing multicanal";"Pregunta 2 de 3";"¿Qué tan bien está interactuando con los clientes actuales y los posibles compradores?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Nuestros programas nos permiten aprender, así como participar e influir fuertemente en el desarrollo y el cambio de productos."
"Marketing multicanal";"Pregunta 2 de 3";"¿Qué tan bien está interactuando con los clientes actuales y los posibles compradores?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Los programas están sincronizados, el contenido está curado y la selección de canales se basa en los objetivos y el tipo de audiencia."
"Marketing multicanal";"Pregunta 2 de 3";"¿Qué tan bien está interactuando con los clientes actuales y los posibles compradores?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Los programas están alineados con resultados comerciales específicos y los datos de los clientes se recopilan y analizan de forma rutinaria."
"Marketing multicanal";"Pregunta 2 de 3";"¿Qué tan bien está interactuando con los clientes actuales y los posibles compradores?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Consideramos que los canales de comercialización son bidireccionales: fomentar intereses, recopilar inteligencia y crear contenido."
"Marketing multicanal";"Pregunta 2 de 3";"¿Qué tan bien está interactuando con los clientes actuales y los posibles compradores?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Hemos agregado canales digitales a nuestras campañas de ventas y promoción de productos de salida."
"Marketing multicanal";"Pregunta 3 de 3";"¿Qué tan avanzado está en la planificación, diseño y ejecución de programas multicanal?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Los procesos de gestión de programas nos permiten operar a dos velocidades, impulsando los ingresos de primera línea y la extensión de la marca."
"Marketing multicanal";"Pregunta 3 de 3";"¿Qué tan avanzado está en la planificación, diseño y ejecución de programas multicanal?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Tenemos una capacidad de administración de campañas multicanal altamente automatizada para impulsar todos los programas."
"Marketing multicanal";"Pregunta 3 de 3";"¿Qué tan avanzado está en la planificación, diseño y ejecución de programas multicanal?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Invertimos en programas sincronizados de varios años para atraer, convertir y retener clientes."
"Marketing multicanal";"Pregunta 3 de 3";"¿Qué tan avanzado está en la planificación, diseño y ejecución de programas multicanal?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Diseñamos campañas de temporada y promociones especiales que impulsan las ventas."
"Marketing multicanal";"Pregunta 3 de 3";"¿Qué tan avanzado está en la planificación, diseño y ejecución de programas multicanal?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"En su mayoría, llevamos a cabo programas reactivos puntuales para alcanzar objetivos específicos a corto plazo."
"Social";"Pregunta 1 de 3";"¿Cómo se utilizan los canales y técnicas sociales?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Los programas sociales se integran en la gestión de la demanda y la canalización, así como en los programas de retención."
"Social";"Pregunta 1 de 3";"¿Cómo se utilizan los canales y técnicas sociales?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"El aprendizaje se comparte en toda la organización, informando la experiencia del cliente, los diseños de productos y programas."
"Social";"Pregunta 1 de 3";"¿Cómo se utilizan los canales y técnicas sociales?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Escuchamos y compartimos contenido que impulsa una mayor participación."
"Social";"Pregunta 1 de 3";"¿Cómo se utilizan los canales y técnicas sociales?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Las comunidades son nuestro enfoque principal, y el contenido se gestiona desde las páginas de destino."
"Social";"Pregunta 1 de 3";"¿Cómo se utilizan los canales y técnicas sociales?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Usamos las redes sociales principalmente para monitorear el diálogo de marca."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"La C-suite es compatible con las redes sociales debido al impacto en la marca, la participación del cliente, el marketing de lealtad y los ingresos."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Contamos con un equipo social dedicado que respalda el marketing, las ventas, el servicio al cliente y el desarrollo de productos."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Contamos con un administrador social o comunitario responsable de construir y administrar nuestra presencia social."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Los equipos de relaciones públicas y marketing comparten recursos para publicar contenido en los canales sociales."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Las comunicaciones corporativas controlan nuestro uso de las redes sociales."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Las métricas se controlan en tiempo real y se correlacionan con los resultados comerciales para permitir la optimización de la campaña."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"El seguimiento y la medición de las redes sociales se basan en métricas, puntos de referencia e indicadores clave de rendimiento empresarial específicos del canal."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Las métricas se establecen de antemano en función del rendimiento de la campaña anterior o la inteligencia competitiva."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Las métricas se crean directamente a partir de las redes sociales, como me gusta, acciones y retweets."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Realizamos un seguimiento de los cambios en las menciones de la marca, el porcentaje de voz o el sentimiento."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Tenemos una mentalidad de móvil siempre y ampliamos el uso del móvil en las ventas sociales y el servicio al cliente."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Usamos un conjunto integrado de herramientas de automatización de marketing."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Hemos automatizado algunos procesos como SMS, correo electrónico, alertas de mensajería móvil y campañas promocionales."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Gestionamos nuestras actividades de campaña y análisis de datos principalmente en hojas de cálculo."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Vemos el móvil como otro número al que llamar para telemarketing."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Informamos opciones de crecimiento estratégico con la inteligencia que creamos a partir de nuestra recopilación de datos."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Realizamos un seguimiento del rendimiento en todos los canales y utilizamos análisis predictivos para determinar las necesidades futuras."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Podemos optimizar múltiples campañas móviles en tiempo real y tener políticas de propiedad de datos bien definidas."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Realizamos un seguimiento del rendimiento de campañas móviles individuales."
