"segment_title";"current_level";"results_lvltt";"results_lvlds"
"Recursos";"1";"Nivel 1: Naciente";"Los presupuestos de marketing, si es que existen, están desconectados de las prioridades, son impredecibles y no financian adecuadamente los programas e iniciativas. Las principales brechas de habilidades no se abordan de manera efectiva, y las inversiones en tecnología son rudimentarias y, a menudo, no están a la altura de la tarea."
"Experiencia del cliente";"1";"Nivel 1: Naciente";"Los esfuerzos de CX tienen un enfoque reactivo en resolver lo que está roto. Existe poco o ningún liderazgo o coordinación de CX en toda la organización. La voz del cliente y los esfuerzos de investigación del cliente son esporádicos, desconectados y contradictorios."
"Marketing multicanal";"1";"Nivel 1: Naciente";"Ya sea que piense en sus actividades como campañas, iniciativas, programas o proyectos más tácticos, los componentes digitales funcionan más como un complemento de los canales tradicionales que como parte de un esfuerzo integrado. Las técnicas digitales se consideran formas más rentables de promover el mensaje, pero hay poco énfasis en la participación constante de los clientes en ambos sentidos."
"Social";"1";"Nivel 1: Naciente";"En esta etapa, las empresas escuchan e interactúan en las redes sociales en intentos inconsistentes y desorganizados de promover y proteger su marca."
"Móvil";"1";"Nivel 1: Naciente";"El marketing móvil se trata como un complemento de telemarketing."
"Comercio digital";"1";"Nivel 1: Naciente";"Las empresas venden a través de uno o más canales digitales (por ejemplo, mercado, sitio web o aplicación móvil de propiedad de una marca o de terceros), pero el comercio digital no se considera fundamental para el crecimiento empresarial. Carecen de conocimiento del cliente; por lo tanto, no pueden crear una estrategia de comercio digital integrada o una estrategia omnicanal. En cambio, el comercio digital está diseñado para lograr los objetivos de la empresa, no necesariamente para satisfacer las necesidades de los clientes. Debido a los ingresos limitados, el presupuesto del comercio digital, los recursos y las inversiones en tecnología están limitados. El marketing tiene dificultades para medir el impacto de las campañas en los resultados del comercio digital debido a los datos y los sistemas en silos, lo que dificulta la justificación del gasto de marketing incremental o la optimización de la selección, la mensajería o la orientación del canal de marketing."
"Conducida por datos";"1";"Nivel 1: Naciente";"Su organización de marketing recopila menos datos de los deseados, pero se ve abrumada por los datos que recopila. Por lo tanto, la mayoría de los datos se quedan esperando a que alguien los use. El equipo de marketing recopila datos para fines ad hoc, pero a menudo actúa sobre la base de información parcial y corazonadas."
"Operaciones";"1";"Nivel 1: Naciente";"La organización de marketing apoya nuevas iniciativas a través del heroico esfuerzo de individuos que ejecutan laboriosos procesos con herramientas básicas."
"Innovación";"1";"Nivel 1: Naciente";"Las empresas reaccionan a las necesidades comerciales inmediatas o buscan innovaciones comprobadas en el mercado. La ejecución de proyectos generalmente se subcontrata a un tercero y el liderazgo del proyecto es informal. Por lo general, es administrado por voluntarios o un comercializador de nivel medio con ancho de banda adicional."
"Recursos";"2";"Nivel 2: Desarrollo";"Los presupuestos de marketing están de alguna manera alineados con las necesidades, pero asegurar los recursos puede ser una batalla cuesta arriba. Las brechas de habilidades y tecnología solo se llenan parcialmente o enfrentan resistencia."
"Experiencia del cliente";"2";"Nivel 2: Desarrollo";"Líder de CX designado pero falta de patrocinio de alto nivel. CX tiene la tarea de elevar una métrica de nivel superior como NPS o CSAT, pero no ha conectado la percepción del cliente con los KPI comerciales o financieros. Colaboración CX establecida pero no uniforme. Los esfuerzos de VoC y de conocimiento del cliente no se coordinan de manera uniforme en toda la organización. Las personas se desarrollan pero son débiles y no impulsan decisiones o acciones."
"Marketing multicanal";"2";"Nivel 2: Desarrollo";"Los programas de marketing recopilan información sobre los clientes y promueven. Los sitios web, por ejemplo, desempeñan un papel más importante a la hora de fomentar los intereses de los visitantes, captar información y proporcionar contenido. Las comunidades sociales entran en juego, y la marca actúa más como un participante activo que como un observador o moderador. El flujo de trabajo y la publicación de contenido son manuales e ineficientes."
"Social";"2";"Nivel 2: Desarrollo";"El diálogo unidireccional, desde la marca u organización al seguidor, se convierte en una conversación bidireccional."
"Móvil";"2";"Nivel 2: Desarrollo";"Se crea una fuerte presencia móvil mediante el desarrollo de tácticas efectivas y repetibles."
"Comercio digital";"2";"Nivel 2: Desarrollo";"Las empresas tienen una estrategia de comercio digital basada en un conocimiento limitado del comprador y del marketing, pero carecen de segmentos, personas o mapas de viaje que les ayuden a comprender y abordar plenamente las necesidades y expectativas de los compradores. El comercio digital está más integrado, pero las empresas no logran ofrecer una estrategia omnicanal. El presupuesto y los recursos están creciendo, pero los líderes tienen el desafío de priorizar el gasto. Los líderes de marketing buscan formas de optimizar el rendimiento del sitio de comercio digital y la efectividad del marketing, invirtiendo en mejoras tácticas de UX para reducir el abandono de carritos y campañas promocionales para aumentar el tráfico y la conversión. Evalúan otras técnicas, como recomendaciones de productos, calificaciones y reseñas, y el pago simplificado, pero no están seguros de cómo priorizar estos proyectos y carecen del talento y la tecnología para probar y medir el impacto de estas mejoras."
"Conducida por datos";"2";"Nivel 2: Desarrollo";"Su organización de marketing cuenta con informes regulares y estandarizados gracias a un pequeño número de analistas de marketing dedicados. Las campañas de marketing tienen segmentos simples y los analistas emplean un marco de medición básico."
"Operaciones";"2";"Nivel 2: Desarrollo";"La organización recibe un mandato y un reconocimiento de que debe mejorar sus capacidades para alcanzar sus objetivos de marketing. Comienza apoyando a las personas en roles operativos."
"Innovación";"2";"Nivel 2: Desarrollo";"Las organizaciones comienzan a involucrar a los socios para ayudar a generar y evaluar ideas, pero la innovación aún carece de atención y apoyo formales. La información y las prácticas pueden compartirse en ocasiones, pero no se han convertido en estándares ampliamente adoptados."
"Recursos";"3";"Nivel 3: intermedio";"Los procesos de presupuestación más maduros se basan en una evaluación de las inversiones del año anterior e incluyen una evaluación significativa de las necesidades de personas y tecnología para el próximo año. Las asociaciones de agencias se incluyen en los planes."
"Experiencia del cliente";"3";"Nivel 3: intermedio";"El comité directivo multifuncional de CX funciona bien. El líder de CX dirige un equipo de CX permanente con un presupuesto continuo. Las partes interesadas reconocen cómo CX impacta los resultados finales. La gobernanza de VoC está en su lugar. El equipo de CX recopila y utiliza la investigación de usuarios, pero no se comparte de manera más amplia. Se han creado mapas de viaje para algunas personas y procesos, pero carecen de un enfoque completo de extremo a extremo en el viaje del cliente."
"Marketing multicanal";"3";"Nivel 3: intermedio";"Los programas están directamente vinculados a los resultados comerciales; Las métricas se utilizan para realizar un seguimiento del éxito y recopilar datos de los clientes. Los programas son complementarios entre sí en lugar de lanzarse al azar como esfuerzos únicos. Una estrategia sólida y bien planificada impulsa la creación de contenido."
"Social";"3";"Nivel 3: intermedio";"El marketing social ahora es parte integral de las campañas multicanal."
"Móvil";"3";"Nivel 3: intermedio";"En el Nivel 3, el marketing está agregando y operacionalizando nuevas capacidades móviles que ayudan a construir una base de compromisos centrados en el cliente. Las técnicas básicas de marketing móvil están disponibles para todas las campañas."
"Comercio digital";"3";"Nivel 3: intermedio";"Las empresas se esfuerzan por alinear el comercio digital con el recorrido del cliente y comienzan a invertir en estrategias omnicanal. El comercio digital se autofinancia y apoya la inversión en talento y tecnología. Como resultado, el marketing tiene más influencia sobre el ecosistema tecnológico de comercio digital, pero existen brechas de talento en áreas clave, como las habilidades tecnológicas. Los CMO se enfrentan a la presión de mostrar el valor incremental del comercio digital, el impacto en los ingresos totales y el ROI del gasto de marketing en el comercio digital. En respuesta a esta presión, se enfocan en personalizar el comercio digital, aumentar la lealtad y el LTV, y mejorar la efectividad y eficiencia del marketing, incluida la optimización del gasto y el rendimiento en sitios minoristas y de terceros, como Amazon."
"Conducida por datos";"3";"Nivel 3: intermedio";"El soporte de análisis ha mejorado a través de una práctica de análisis de marketing dedicada e informes de rendimiento automatizados. Se han integrado sistemas de datos de marketing para mejorar la orientación de la campaña y el equipo utiliza pruebas para medir su impacto."
"Operaciones";"3";"Nivel 3: intermedio";"La organización de marketing automatiza los procesos, cuando es posible, para crear más coherencia en las operaciones de rutina y liberar al personal para tareas más creativas."
"Innovación";"3";"Nivel 3: intermedio";"La organización ha demostrado un valor comercial con una pequeña cartera de \"victorias rápidas\". La visión del papel de la innovación en la organización se comunica ampliamente y los empleados comienzan a comprender su papel dentro de la empresa para respaldar la innovación, directa o indirectamente. Alcanzar el nivel 3 es un logro importante, ¡felicitaciones! - dispone de piezas para gestionar y mantener la innovación."
"Recursos";"4";"Nivel 4: avanzado";"Los especialistas en marketing tienen una influencia significativa sobre los planes presupuestarios, basados en casos comerciales sólidos y una demostración clara de que pueden aumentar los ingresos y las ganancias. La gestión mide el marketing en función del ROI de las actividades combinadas."
"Experiencia del cliente";"4";"Nivel 4: avanzado";"La organización y los líderes son recompensados por el desempeño de CX. Hay representantes de CX permanentes a tiempo completo en todos los departamentos clave y se coordinan con el equipo principal de CX. VoC se coordina en toda la organización con una sólida difusión de conocimientos y procesos de ciclo cerrado para abordar rápidamente los problemas individuales. El equipo de conocimiento del cliente tiene un presupuesto fijo. Los mapas de viaje expansivos definen las necesidades y expectativas del cliente, desde la necesidad hasta la compra, la lealtad y la promoción."
"Marketing multicanal";"4";"Nivel 4: avanzado";"La selección de canales se basa en el tipo de comprador y sus preferencias. Las campañas se mezclan en cascada con una sincronización altamente orquestada que refuerza el contenido relevante y convincente. Una estrategia de contenido de dos velocidades, una que combina contenido preplanificado y orientado a campañas con contenido en tiempo real y del momento, impulsa un flujo constante de experiencias personalizadas en momentos clave del recorrido del comprador. Los programas de fidelización se sincronizan con eventos importantes que benefician tanto al cliente como a la empresa, desde el lanzamiento de nuevos productos hasta los hitos del ciclo de vida del cliente."
"Social";"4";"Nivel 4: avanzado";"En este nivel, las actividades de marketing social están marcadas por una mayor eficiencia y optimización, así como más pruebas y experimentación."
"Móvil";"4";"Nivel 4: avanzado";"Los esfuerzos móviles son parte de una estrategia de dos velocidades de mensajería de marca \"siempre activa\" combinada con ofertas basadas en datos personalizadas para los perfiles de usuario. El equipo móvil colabora en todas las funciones de marketing para impulsar una experiencia de cliente perfecta. Finalmente, las métricas móviles del equipo se alinean con los KPI de la empresa."
"Comercio digital";"4";"Nivel 4: avanzado";"Las empresas están construyendo una estrategia omnicanal integrada con el comercio digital en su núcleo, pero las complejidades operativas se interponen en el camino de una experiencia verdaderamente fluida. Los equipos de marketing invierten en la personalización de uno o dos canales de comunicación de marketing (por ejemplo, web, correo electrónico), pero carecen de integración. Invierten en personalizar el comercio digital, pero se centran principalmente en recomendaciones de productos y ofertas promocionales específicas. Las campañas de marketing y publicidad son más efectivas para impulsar el tráfico y la conversión en los sitios propiedad de la marca, pero las demandas de contenido y los requisitos de tecnología presentan obstáculos y erosionan las ganancias financieras. Los líderes de marketing también luchan por administrar la presencia de la marca en sitios de terceros, como Amazon, buscando formas de optimizar el rendimiento frente a sus pares y mitigar el riesgo de listados de productos no autorizados."
"Conducida por datos";"4";"Nivel 4: avanzado";"La analítica de marketing tiene un líder senior dentro de la organización de marketing. El equipo de análisis permite a las partes interesadas a través de análisis de autoservicio y datos conectados, lo que libera a los analistas para trabajar en análisis avanzados y soporte de personalización."
"Operaciones";"4";"Nivel 4: avanzado";"El marketing ya no consiste solo en campañas discretas, sino que atrae continuamente a su audiencia, como con el marketing de contenido y las conversaciones en las redes sociales. La multicanalidad se convierte en un ejercicio de procesos y datos procesables en tiempo real para respaldar el compromiso continuo. Las operaciones han evolucionado para respaldar estas iniciativas."
"Innovación";"4";"Nivel 4: avanzado";"La innovación es ahora una disciplina de toda la empresa y se considera un proceso comercial crítico destinado a hacer crecer el negocio a través de múltiples métodos. La innovación no se limita al marketing y podría impulsar nuevas ideas para nuevos productos, servicios y experiencias de los clientes. Ha establecido varias asociaciones fuera de su lista de proveedores y agencias."
"Recursos";"5";"Nivel 5: Maestra";"La empresa realiza inversiones sostenidas de varios años en marketing. La organización de marketing posee derechos de decisión en áreas que afectan la estrategia de comercialización y fomentan la innovación. Las personas talentosas vienen a aprender marketing digital y se quedan."
"Experiencia del cliente";"5";"Nivel 5: Maestra";"Los ejecutivos administran negocios con un equilibrio equitativo entre los indicadores rezagados de éxito financiero y los indicadores principales de percepción, relación y experiencia del cliente. CX se centra tanto en experiencias innovadoras para satisfacer las necesidades insatisfechas como en arreglar lo que está roto con los procesos existentes del cliente. Los empleados de todos los niveles tienen expectativas de rendimiento e incentivos centrados en el cliente. La VoC y la investigación de usuarios se utilizan para cada proyecto y decisión."
"Marketing multicanal";"5";"Nivel 5: Maestra";"El equipo de marketing diseña programas multicanal simultáneos que se ejecutan a dos velocidades. Uno es el storytelling de marca automatizado y totalmente comprometido que promueve la promesa de la marca. La otra se ejecuta simultáneamente con compromisos personalizados en tiempo real que satisfacen (y anticipan) las necesidades diferenciadas de los clientes. La estrategia de marketing de contenidos es fundamental para los resultados del marketing multicanal y puede respaldar las ofertas de productos de tal manera que el contenido sea prácticamente indistinguible del valor que los clientes obtienen de un producto."
"Social";"5";"Nivel 5: Maestra";"Las organizaciones utilizan el marketing social como un canal de elección para los clientes, y es un punto de contacto igual a todos los demás. La presencia social y la experiencia social son parte de la identidad de la marca y pueden diferenciar la experiencia del cliente."
"Móvil";"5";"Nivel 5: Maestra";"El equipo de marketing móvil se ha convertido en un activo estratégico para el negocio. Diseña y ejecuta campañas que logran consistentemente resultados comerciales medibles."
"Comercio digital";"5";"Nivel 5: Maestra";"Las empresas han definido y están ejecutando una estrategia omnicanal integrada que genera un crecimiento total de los ingresos. Los líderes de marketing rastrean la contribución del canal y el impacto en LTV, pero la empresa está adoptando un enfoque centrado en el cliente, en lugar de centrado en el canal. Los líderes de marketing utilizan el contexto del viaje y la segmentación para informar la gestión y optimización de decisiones en tiempo real (por ejemplo, ofertas, contenido y recomendaciones), así como personas para refinar la hoja de ruta estratégica para el comercio digital. El comercio digital está impulsando una transformación digital más amplia, expandiéndose geográficamente y hacia modelos comerciales emergentes, e influyendo en la inversión en innovaciones como voz e inteligencia artificial. Los líderes de marketing luchan por expandir sus capacidades para respaldar el alcance y la escala crecientes del comercio digital, como la creación de competencias para administrar el comercio digital global o liderar la innovación."
"Conducida por datos";"5";"Nivel 5: Maestra";"La analítica de marketing es una capacidad diferenciadora dentro de su organización. Esto refleja el deseo de los CMO que esperan una mayor madurez del equipo de análisis y datos de marketing para impulsar la expansión del mercado o obtener una ventaja competitiva. El equipo de análisis produce de forma rutinaria capacidades innovadoras y se lo considera un facilitador principal de la personalización, la experiencia del cliente y el crecimiento. La mayoría de los procesos analíticos y de datos se construyen con la automatización como principio de diseño."
"Operaciones";"5";"Nivel 5: Maestra";"Las operaciones se han vuelto \"transparentes\". La organización puede cambiar de dirección rápidamente, adoptando nuevas tecnologías, nuevas técnicas de marketing y nuevos modelos de negocio, sin preocuparse por los límites de su infraestructura o cultura."
"Innovación";"5";"Nivel 5: Maestra";"La innovación es universal y un hábito. Los empleados, clientes y socios participan en su proceso de innovación."
